source_set,source_page,card_code,pokemon,move_name,json_id,attack_type,energy_cost,printed_damage,raw_effect_text,runtime_effect_mapping
ST,1,STW01-000,bulbasaur,Aroma Storm,bulbasaur_aroma_storm_stw01_000,grass,grassx4,30,Heal 50 damage from this Pokémon.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW01-001,bulbasaur,Vine Whip,bulbasaur_vine_whip_stw01_001,grass,grassx1,10,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW01-002,bulbasaur,Razor Leaf,bulbasaur_razor_leaf_stw01_002,grass,grassx2,20,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW01-003,bulbasaur,Leech Seed,bulbasaur_leech_seed_stw01_003,grass,grassx2,10,"On the opponent's next turn, reduce the number of Enekoro they roll by 1. | On your next turn, increase the number of Enekoro you roll by 1.",pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW01-004,bulbasaur,Grass Knot,bulbasaur_grass_knot_stw01_004,grass,grassx3,30,"Choose 1 of your opponent's attacks. During their next turn, they can't use this attack.",pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW01-005,bulbasaur,Assault,bulbasaur_assault_stw01_005,grass,grassx3,30,This attack does 40 more damage. | This Pokémon also does 30 damage to itself.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW01-006,bulbasaur,Giga Drain,bulbasaur_giga_drain_stw01_006,grass,grassx4,40,Heal 40 damage from this Pokémon.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW01-007,bulbasaur,Acid Spray,bulbasaur_acid_spray_stw01_007,dark,darkx1 + normalx2,10,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW02-000,charmander,Flame Up,charmander_flame_up_stw02_000,fire,firex3,20,"On your next turn, increase the number of Enekoro you roll by 2. | On your next turn, reduce the number of Enekoro you roll by 2.",pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW02-001,charmander,Ember,charmander_ember_stw02_001,fire,firex2,20,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW02-002,charmander,Heat Up,charmander_heat_up_stw02_002,fire,firex2,10,"On your next turn, increase the number of Enekoro you roll by 2.",pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW02-003,charmander,Flamethrower,charmander_flamethrower_stw02_003,fire,firex3,40,"This attack does 20 more damage. | On your next turn, reduce the number of Enekoro you roll by 1.",pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW02-004,charmander,Fire Fang,charmander_fire_fang_stw02_004,fire,firex4,30,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW02-005,charmander,Flare Storm,charmander_flare_storm_stw02_005,fire,normalx5,20,This attack does 10 damage for each Fire energy produced.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW02-006,charmander,Thunder Punch,charmander_thunder_punch_stw02_006,electric,electricx1 + normalx2,10,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW02-007,charmander,Metal Claw,charmander_metal_claw_stw02_007,steel,steelx1 + normalx2,20,This attack does 40 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,PRW01-008,squirtle,Hard Shell,squirtle_hard_shell_prw01_008,water,waterx3,20,"During your opponent's next turn, this Pokémon takes 50 less damage from attacks.",pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW03-001,squirtle,Water Gun,squirtle_water_gun_stw03_001,water,waterx1,10,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW03-002,squirtle,Withdraw,squirtle_withdraw_stw03_002,water,waterx1,,"During your opponent's next turn, this Pokémon takes 20 less damage from attacks. | Heal 30 damage from this Pokémon.",pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW03-003,squirtle,Water Pulse,squirtle_water_pulse_stw03_003,water,waterx2,20,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW03-004,squirtle,Shell Attack,squirtle_shell_attack_stw03_004,water,waterx3,30,"During your opponent's next turn, this Pokémon takes 20 less damage from attacks.",pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW03-005,squirtle,Bubble Beam,squirtle_bubble_beam_stw03_005,water,waterx3,30,"On the opponent's next turn, reduce the number of Enekoro they roll by 1.",pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW03-006,squirtle,Hydro Rage,squirtle_hydro_rage_stw03_006,water,waterx4,40,"If this Pokémon has 40 or less HP remaining, this attack does 60 more damage.",pending_kyokoro_orientation_and_special_effect_mapping
ST,1,STW03-007,squirtle,Mud Shot,squirtle_mud_shot_stw03_007,fighting,fightingx1 + normalx3,30,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW04-000,pikachu,Critical Bolt,pikachu_critical_bolt_stw04_000,electric,electricx4,30,This attack does 60 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW04-001,pikachu,Gnaw,pikachu_gnaw_stw04_001,electric,electricx1,10,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW04-002,pikachu,Thunder Shock,pikachu_thunder_shock_stw04_002,electric,electricx2,10,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW04-003,pikachu,Electric Rush,pikachu_electric_rush_stw04_003,electric,electricx2,20,"This attack's damage isn't affected by Weakness. | Use ""Electric Rush"" 1 more time. (Can be repeated until it fails.)",pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW04-004,pikachu,Thunderbolt,pikachu_thunderbolt_stw04_004,electric,electricx3,30,"This attack does 30 more damage. | On your next turn, reduce the number of Enekoro you roll by 2.",pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW04-005,pikachu,Thunder,pikachu_thunder_stw04_005,electric,electricx3,20,This attack does 60 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW04-006,pikachu,Volt Tackle,pikachu_volt_tackle_stw04_006,electric,electricx4,40,This Pokémon also does 30 damage to itself. | This attack does 40 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW04-007,pikachu,Iron Tail,pikachu_iron_tail_stw04_007,steel,steelx1,20,"During your opponent's next turn, this Pokémon takes 10 less damage from attacks.",pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW05-001,eevee,Tail Slap,eevee_tail_slap_stw05_001,normal,flyingx1,10,This attack does 10 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW05-002,eevee,Tackle,eevee_tackle_stw05_002,normal,flyingx2,10,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW05-003,eevee,Take Down,eevee_take_down_stw05_003,normal,flyingx2,30,This attack does 20 more damage. | This Pokémon also does 20 damage to itself.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW05-004,eevee,Flop,eevee_flop_stw05_004,normal,flyingx3,,This attack does 70 damage. | This attack does 40 damage. | This attack does 20 damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW05-005,eevee,Full Power Dash,eevee_full_power_dash_stw05_005,normal,normalx5,40,This attack does 40 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW05-006,eevee,Charm,eevee_charm_stw05_006,psychic,psychicx1,20,"On the opponent's next turn, reduce the number of Enekoro they roll by 2.",pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW05-007,eevee,Bite,eevee_bite_stw05_007,dark,darkx1 + normalx2,10,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW06-001,mew,Confusion,mew_confusion_stw06_001,psychic,psychicx1,10,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW06-002,mew,Psybeam,mew_psybeam_stw06_002,psychic,psychicx2,20,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW06-003,mew,Barrier,mew_barrier_stw06_003,psychic,psychicx2,,"During your opponent's next turn, this Pokémon takes 20 less damage from attacks. | Reduce damage taken by an additional 30.",pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW06-004,mew,Memory Skip,mew_memory_skip_stw06_004,psychic,psychicx2,20,"Choose 1 of your opponent's attacks. During their next turn, they can't use this attack.",pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW06-005,mew,Psyshot,mew_psyshot_stw06_005,psychic,psychicx3,30,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW06-006,mew,Psychic,mew_psychic_stw06_006,psychic,psychicx3,20,The opponent rolls 3 Enekoro. Add 10 damage for each energy of the type that was rolled the most.,pending_kyokoro_orientation_and_special_effect_mapping
ST,2,STW06-007,mew,Reflection,mew_reflection_stw06_007,psychic,psychicx4,,Deal damage equal to the last attack selected by your opponent. (Ignore Charakoro effects.) | Damage dealt by this attack is doubled.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-001,pinsir,Concentrate,pinsir_concentrate_ebw01_001,grass,grassx1,,"On your next turn, increase the number of Enekoro you roll by 2.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-002,pinsir,Endure,pinsir_endure_ebw01_002,grass,grassx2,,"During your opponent's next turn, this Pokémon takes 20 less damage from attacks. | Reduce damage taken by an additional 20.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-003,pinsir,Horn Attack,pinsir_horn_attack_ebw01_003,grass,grassx3,20,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-004,pinsir,Guillotine,pinsir_guillotine_ebw01_004,normal,grassx5,,This attack does 150 damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-005,pinsir,Brick Break,pinsir_brick_break_ebw01_005,fighting,fightingx1,20,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-006,pinsir,Scissors Charge,pinsir_scissors_charge_ebw01_006,grass,grassx2,20,"On your next turn, increase the number of Enekoro you roll by 1.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-007,pinsir,Berserk Swing,pinsir_berserk_swing_ebw01_007,grass,grassx3,10,"During your last turn, if your Enekoro roll failed, this attack does 40 more damage.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-008,pinsir,Reckless Charge,pinsir_reckless_charge_ebw01_008,grass,grassx3,30,This attack does 20 more damage. | This Pokémon also does 20 damage to itself.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-009,pinsir,Deadly Scissors,pinsir_deadly_scissors_ebw01_009,grass,grassx4,20,This attack does 80 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-010,pinsir,Submission,pinsir_submission_ebw01_010,fighting,fightingx1 + normalx3,30,This Pokémon also does 20 damage to itself. | This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-011,moltres,Fire Wing,moltres_fire_wing_ebw01_011,fire,firex2,30,This attack does 30 more damage. | This Pokémon also does 20 damage to itself.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-012,moltres,Heat Wave,moltres_heat_wave_ebw01_012,fire,firex2,30,This attack does 20 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-013,moltres,Flamethrower,moltres_flamethrower_ebw01_013,fire,firex4,40,"This attack does 40 more damage. | On your next turn, reduce the number of Enekoro you roll by 2.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-014,moltres,Flare Blitz,moltres_flare_blitz_ebw01_014,fire,firex5,50,This attack does 40 more damage. | This Pokémon also does 40 damage to itself.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-015,moltres,Hurricane,moltres_hurricane_ebw01_015,flying,flyingx1 + normalx3,20,This attack does 60 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-016,moltres,Fire Spin,moltres_fire_spin_ebw01_016,fire,firex2,20,"This attack does 40 more damage. | On your next turn, reduce the number of Enekoro you roll by 2.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-017,moltres,Heat Breath,moltres_heat_breath_ebw01_017,fire,firex3,40,This attack does 40 more damage. | This Pokémon also does 30 damage to itself.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-018,moltres,Burn Up,moltres_burn_up_ebw01_018,fire,firex4,80,This attack does nothing.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-019,moltres,Wing Rush,moltres_wing_rush_ebw01_019,flying,flyingx1,20,This attack does 10 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-020,moltres,Fly,moltres_fly_ebw01_020,flying,flyingx1 + normalx2,30,"During your opponent's next turn, this Pokémon doesn't take damage from attacks. | This attack does nothing.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-021,articuno,Ice Wing,articuno_ice_wing_ebw01_021,water,waterx2,10,"On the opponent's next turn, reduce the number of Enekoro they roll by 1.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-022,articuno,Frozen Blade,articuno_frozen_blade_ebw01_022,water,waterx3,30,"On your opponent's next turn, they cannot roll their Charakoro.",pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-023,articuno,Blizzard Storm,articuno_blizzard_storm_ebw01_023,water,waterx4,30,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
EB01,1,EBW01-024,articuno,Air Cutter,articuno_air_cutter_ebw01_024,flying,flyingx1 + normalx3,40,This attack does 30 more damage.,pending_kyokoro_orientation_and_special_effect_mapping
