id,classification,detail
articuno_air_cutter_ebw01_024,cleaned_safe_mirror,removed 1 legacy mirror(s)
articuno_blizzard_storm_ebw01_023,cleaned_safe_mirror,removed 1 legacy mirror(s)
articuno_cold_breath_ebw01_028,cleaned_safe_mirror,removed 1 legacy mirror(s)
articuno_fly_ebw01_030,cleaned_safe_mirror,removed 2 legacy mirror(s)
articuno_freeze_dive_ebw01_026,cleaned_safe_mirror,removed 1 legacy mirror(s)
articuno_ice_shot_ebw01_027,cleaned_safe_mirror,removed 1 legacy mirror(s)
articuno_ice_wing_ebw01_021,cleaned_safe_mirror,removed 1 legacy mirror(s)
articuno_roost_ebw01_025,cleaned_safe_mirror,removed 1 legacy mirror(s)
bulbasaur_acid_spray_stw01_007,cleaned_safe_mirror,removed 1 legacy mirror(s)
bulbasaur_aroma_storm_stw01_000,cleaned_safe_mirror,removed 1 legacy mirror(s)
bulbasaur_assault_stw01_005,cleaned_safe_mirror,removed 2 legacy mirror(s)
bulbasaur_giga_drain_stw01_006,cleaned_safe_mirror,removed 1 legacy mirror(s)
bulbasaur_leech_seed_stw01_003,cleaned_safe_mirror,removed 1 legacy mirror(s)
bulbasaur_razor_leaf_stw01_002,cleaned_safe_mirror,removed 1 legacy mirror(s)
bulbasaur_vine_whip_stw01_001,cleaned_safe_mirror,removed 1 legacy mirror(s)
charmander_ember_stw02_001,cleaned_safe_mirror,removed 1 legacy mirror(s)
charmander_fire_fang_stw02_004,cleaned_safe_mirror,removed 1 legacy mirror(s)
charmander_flame_up_stw02_000,cleaned_safe_mirror,removed 2 legacy mirror(s)
charmander_flamethrower_stw02_003,cleaned_safe_mirror,removed 2 legacy mirror(s)
charmander_flare_storm_stw02_005,cleaned_safe_mirror,removed 1 legacy mirror(s)
charmander_heat_up_stw02_002,cleaned_safe_mirror,removed 1 legacy mirror(s)
charmander_metal_claw_stw02_007,cleaned_safe_mirror,removed 1 legacy mirror(s)
charmander_thunder_punch_stw02_006,cleaned_safe_mirror,removed 1 legacy mirror(s)
eevee_bite_stw05_007,cleaned_safe_mirror,removed 1 legacy mirror(s)
eevee_charm_stw05_006,cleaned_safe_mirror,removed 1 legacy mirror(s)
eevee_flop_stw05_004,cleaned_safe_mirror,removed 3 legacy mirror(s)
eevee_full_power_dash_stw05_005,cleaned_safe_mirror,removed 1 legacy mirror(s)
eevee_tackle_stw05_002,cleaned_safe_mirror,removed 1 legacy mirror(s)
eevee_tail_slap_stw05_001,cleaned_safe_mirror,removed 1 legacy mirror(s)
eevee_take_down_stw05_003,cleaned_safe_mirror,removed 2 legacy mirror(s)
grimer_harassment_venom_ebw01_059,cleaned_safe_mirror,removed 1 legacy mirror(s)
grimer_poison_gas_ebw01_051,cleaned_safe_mirror,removed 1 legacy mirror(s)
grimer_sludge_tackle_ebw01_058,cleaned_safe_mirror,removed 2 legacy mirror(s)
grimer_sludge_toss_ebw01_052,cleaned_safe_mirror,removed 1 legacy mirror(s)
grimer_toxic_blast_ebw01_057,cleaned_safe_mirror,removed 1 legacy mirror(s)
grimer_toxic_heal_ebw01_053,cleaned_safe_mirror,removed 1 legacy mirror(s)
grimer_venom_punch_ebw01_055,cleaned_safe_mirror,removed 1 legacy mirror(s)
mew_barrier_stw06_003,cleaned_safe_mirror,removed 1 legacy mirror(s)
mew_confusion_stw06_001,cleaned_safe_mirror,removed 1 legacy mirror(s)
mew_psybeam_stw06_002,cleaned_safe_mirror,removed 1 legacy mirror(s)
mew_psyshot_stw06_005,cleaned_safe_mirror,removed 1 legacy mirror(s)
mew_reflection_stw06_007,cleaned_safe_mirror,removed 1 legacy mirror(s)
moltres_burn_up_ebw01_018,cleaned_safe_mirror,removed 1 legacy mirror(s)
moltres_fire_spin_ebw01_016,cleaned_safe_mirror,removed 2 legacy mirror(s)
moltres_fire_wing_ebw01_011,cleaned_safe_mirror,removed 2 legacy mirror(s)
moltres_flamethrower_ebw01_013,cleaned_safe_mirror,removed 2 legacy mirror(s)
moltres_flare_blitz_ebw01_014,cleaned_safe_mirror,removed 2 legacy mirror(s)
moltres_fly_ebw01_020,cleaned_safe_mirror,removed 2 legacy mirror(s)
moltres_heat_breath_ebw01_017,cleaned_safe_mirror,removed 2 legacy mirror(s)
moltres_heat_wave_ebw01_012,cleaned_safe_mirror,removed 1 legacy mirror(s)
moltres_hurricane_ebw01_015,cleaned_safe_mirror,removed 1 legacy mirror(s)
moltres_wing_rush_ebw01_019,cleaned_safe_mirror,removed 1 legacy mirror(s)
onix_hard_impact_ebw01_044,cleaned_safe_mirror,removed 2 legacy mirror(s)
onix_iron_tail_ebw01_050,cleaned_safe_mirror,removed 1 legacy mirror(s)
onix_ram_ebw01_046,cleaned_safe_mirror,removed 1 legacy mirror(s)
onix_rock_barrier_ebw01_049,cleaned_safe_mirror,removed 1 legacy mirror(s)
