file,line,property,text,category,context
scenes/ui/BattleGameUI.tscn,63,text,PlaKoro Battle,player/editor UI,"text = ""PlaKoro Battle"""
scenes/ui/BattleGameUI.tscn,72,text,Turn,player/editor UI,"text = ""Turn"""
scenes/ui/BattleGameUI.tscn,77,text,Test Layout,player/editor UI,"text = ""Test Layout"""
scenes/ui/BattleGameUI.tscn,82,text,← Back to Preparation,player/editor UI,"text = ""← Back to Preparation"""
scenes/ui/BattleGameUI.tscn,87,text,Restart,player/editor UI,"text = ""Restart"""
scenes/ui/BattleGameUI.tscn,93,text,Dice setup,player/editor UI,"text = ""Dice setup"""
scenes/ui/BattleGameUI.tscn,212,text,YOU,player/editor UI,"text = ""YOU"""
scenes/ui/BattleGameUI.tscn,218,text,Pikachu,player/editor UI,"text = ""Pikachu"""
scenes/ui/BattleGameUI.tscn,223,text,Type: —,player/editor UI,"text = ""Type: —"""
scenes/ui/BattleGameUI.tscn,229,text,Weakness: —,player/editor UI,"text = ""Weakness: —"""
scenes/ui/BattleGameUI.tscn,240,text,0 / 0,player/editor UI,"text = ""0 / 0"""
scenes/ui/BattleGameUI.tscn,268,text,AI,player/editor UI,"text = ""AI"""
scenes/ui/BattleGameUI.tscn,274,text,Squirtle,player/editor UI,"text = ""Squirtle"""
scenes/ui/BattleGameUI.tscn,279,text,Type: —,player/editor UI,"text = ""Type: —"""
scenes/ui/BattleGameUI.tscn,285,text,Weakness: —,player/editor UI,"text = ""Weakness: —"""
scenes/ui/BattleGameUI.tscn,296,text,0 / 0,player/editor UI,"text = ""0 / 0"""
scenes/ui/BattleGameUI.tscn,324,text,Choose a move.,player/editor UI,"text = ""Choose a move."""
scenes/ui/BattleGameUI.tscn,338,text,Turn 1 — YOUR TURN • Choose a Move,player/editor UI,"text = ""Turn 1 — YOUR TURN • Choose a Move"""
scenes/ui/BattleGameUI.tscn,355,text,VICTORY,player/editor UI,"text = ""VICTORY"""
scenes/ui/BattleGameUI.tscn,361,text,Turns: 0,player/editor UI,"text = ""Turns: 0"""
scenes/ui/BattleGameUI.tscn,367,text,YOU 0 / 0 HP   •   AI 0 / 0 HP,player/editor UI,"text = ""YOU 0 / 0 HP   •   AI 0 / 0 HP"""
scenes/ui/BattleGameUI.tscn,378,text,Rematch,player/editor UI,"text = ""Rematch"""
scenes/ui/BattleGameUI.tscn,384,text,Back to Preparation,player/editor UI,"text = ""Back to Preparation"""
scenes/ui/BattleGameUI.tscn,406,text,Moves,player/editor UI,"text = ""Moves"""
scenes/ui/BattleGameUI.tscn,437,text,Roll Result,player/editor UI,"text = ""Roll Result"""
scenes/ui/BattleGameUI.tscn,458,text,Energy requirement,player/editor UI,"text = ""Energy requirement"""
scenes/ui/BattleGameUI.tscn,479,text,Charakoro Effect Triggered,player/editor UI,"text = ""Charakoro Effect Triggered"""
scenes/ui/BattleGameUI.tscn,485,text,HEAD UP,player/editor UI,"text = ""HEAD UP"""
scenes/ui/BattleGameUI.tscn,503,text,Battle Timeline,player/editor UI,"text = ""Battle Timeline"""
scenes/ui/BattleGameUI.tscn,508,text,Technical,player/editor UI,"text = ""Technical"""
scenes/ui/BattleGameUI.tscn,525,title,Exit PlaKoro?,player/editor UI,"title = ""Exit PlaKoro?"""
scenes/ui/BattleGameUI.tscn,527,ok_button_text,Quit,player/editor UI,"ok_button_text = ""Quit"""
scenes/ui/BattleGameUI.tscn,528,cancel_button_text,Cancel,player/editor UI,"cancel_button_text = ""Cancel"""
scenes/ui/MoveBuilderUI.tscn,63,text,Move Builder,review,"text = ""Move Builder"""
scenes/ui/MoveBuilderUI.tscn,70,text,Draft Mode,review,"text = ""Draft Mode"""
scenes/ui/MoveBuilderUI.tscn,75,text,Discard Draft,review,"text = ""Discard Draft"""
scenes/ui/MoveBuilderUI.tscn,80,text,← Back to Preparation,review,"text = ""← Back to Preparation"""
scenes/ui/MoveBuilderUI.tscn,104,text,Pokémon,review,"text = ""Pokémon"""
scenes/ui/MoveBuilderUI.tscn,111,text,Pikachu,review,"text = ""Pikachu"""
scenes/ui/MoveBuilderUI.tscn,116,text,pikachu_standard,review,"text = ""pikachu_standard"""
scenes/ui/MoveBuilderUI.tscn,134,text,Available Moves from Database,review,"text = ""Available Moves from Database"""
scenes/ui/MoveBuilderUI.tscn,139,text,Select up to four legal moves. Same-name alternate cards are disabled automatically.,review,"text = ""Select up to four legal moves. Same-name alternate cards are disabled automatically."""
scenes/ui/MoveBuilderUI.tscn,178,text,Selected Moves,review,"text = ""Selected Moves"""
scenes/ui/MoveBuilderUI.tscn,183,text,Selected 4 / 4,review,"text = ""Selected 4 / 4"""
scenes/ui/MoveBuilderUI.tscn,197,text,Draft matches saved loadout.,review,"text = ""Draft matches saved loadout."""
scenes/ui/MoveBuilderUI.tscn,209,text,Live Move Coverage,review,"text = ""Live Move Coverage"""
scenes/ui/MoveBuilderUI.tscn,227,text,☆☆☆☆☆ No Analysis,review,"text = ""☆☆☆☆☆ No Analysis"""
scenes/ui/MoveBuilderUI.tscn,232,text,Overall coverage: —,review,"text = ""Overall coverage: —"""
scenes/ui/MoveBuilderUI.tscn,238,text,Energy Usage,review,"text = ""Energy Usage"""
scenes/ui/MoveBuilderUI.tscn,250,text,Selection Validation,review,"text = ""Selection Validation"""
scenes/ui/MoveBuilderUI.tscn,256,text,NOT READY,review,"text = ""NOT READY"""
scenes/ui/MoveBuilderUI.tscn,265,text,Status,review,"text = ""Status"""
scenes/ui/MoveBuilderUI.tscn,279,text,Apply Changes,review,"text = ""Apply Changes"""
scenes/ui/MoveBuilderUI.tscn,286,text,Continue,review,"text = ""Continue"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,66,text,Enerkoro Builder,player/editor UI,"text = ""Enerkoro Builder"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,74,text,← Back to Preparation,player/editor UI,"text = ""← Back to Preparation"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,104,text,CURRENT SETUP,player/editor UI,"text = ""CURRENT SETUP"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,112,text,Editing: Player Custom,player/editor UI,"text = ""Editing: Player Custom"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,122,text,✓ Valid,player/editor UI,"text = ""✓ Valid"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,129,text,Select a face to change its Energy. Fixed faces must use unique Energy types across all three Enerkoro.,player/editor UI,"text = ""Select a face to change its Energy. Fixed faces must use unique Energy types across all three Enerkoro."""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,145,text,Enerkoro Faces,player/editor UI,"text = ""Enerkoro Faces"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,154,text,3 Enerkoro • 6 faces each,player/editor UI,"text = ""3 Enerkoro • 6 faces each"""
scenes/ui/EnergyDiceVisualBuilderUI.tscn,176,text,Advanced ▸,player/editor UI,"text = ""Advanced ▸"""
