file,line,classification,context
scripts/ui/BattlePreparationUI.gd,628,review,"+ ""  ["""
scripts/ui/BattlePreparationUI.gd,630,review,"+ ""]"""
scripts/ui/BattlePreparationUI.gd,772,review,"""preparation.difficulty."" + difficulty,"
scripts/ui/BattlePreparationUI.gd,1984,review,"""{type} +{bonus}"""
scripts/ui/BattlePreparationUI.gd,2013,review,"result += "" "" + parts[parts.size() - 1].to_upper()"
scripts/ui/BattlePreparationUI.gd,2093,review,"slot_label.text = str(index + 1) + ""."""
scripts/ui/BattlePreparationUI.gd,2107,review,"+ ""\n"""
scripts/ui/BattlePreparationUI.gd,2334,review,"""probability"": ""%.1f"" % ("
scripts/ui/BattlePreparationUI.gd,2344,review,"""{move}: {probability}%{rating}"""
scripts/ui/BattlePreparationUI.gd,2444,review,"""probability"": ""%.1f"" % ("
scripts/ui/BattlePreparationUI.gd,2448,review,"""Overall coverage: {probability}%"""
scripts/ui/BattlePreparationUI.gd,2643,review,"""preparation.difficulty."" + difficulty_id,"
scripts/ui/BattlePreparationUI.gd,2914,review,"+ "" """
scripts/ui/BattlePreparationUI.gd,2916,review,"+ ""×"""
scripts/ui/BattleGameUI.gd,1346,review,"""%.0f%%"""
scripts/ui/BattleGameUI.gd,1383,review,"+ "" """
scripts/ui/BattleGameUI.gd,1385,review,"+ ""×"""
scripts/ui/BattleGameUI.gd,1405,review,"""%.0f%%"""
scripts/ui/BattleGameUI.gd,1416,review,"+ ""\n"""
scripts/ui/BattleGameUI.gd,1417,review,"+ "", "".join(costs)"
scripts/ui/BattleGameUI.gd,1418,review,"+ "" | DMG """
scripts/ui/BattleGameUI.gd,1420,review,"+ "" | """
scripts/ui/BattleGameUI.gd,1534,review,"+ "" applied. Rolling..."""
scripts/ui/BattleGameUI.gd,2167,review,"+ ""  ["""
scripts/ui/BattleGameUI.gd,2171,review,"+ ""]"""
scripts/ui/BattleGameUI.gd,2660,review,"+ "" +"""
scripts/ui/BattleGameUI.gd,2861,review,"""%.0f%%"""
scripts/ui/PlakoroContentStudioUI.gd,325,technical/data,"back_button.text = ""← "" + LocalizationService.tr_key(""content_studio.back_preparation"", ""Back to Preparation"")"
scripts/ui/PlakoroContentStudioUI.gd,355,review,"[""AddAttackTypeCostButton"", ""content_studio.add_attack_type"", ""+ Attack Type""],"
scripts/ui/PlakoroContentStudioUI.gd,357,review,"[""AddEnergyCostButton"", ""content_studio.add_energy"", ""+ Add Energy""],"
scripts/ui/PlakoroContentStudioUI.gd,359,review,"[""AddBaseActionButton"", ""content_studio.add_action"", ""+ Add Action""],"
scripts/ui/PlakoroContentStudioUI.gd,360,review,"[""AddOutcomeRuleButton"", ""content_studio.add_outcome_rule"", ""+ Add Outcome Rule""],"
scripts/ui/PlakoroContentStudioUI.gd,676,review,"+ ""/"""
scripts/ui/PlakoroContentStudioUI.gd,678,review,"+ ""_default.json"""
scripts/ui/PlakoroContentStudioUI.gd,759,review,"+ "" using type """
scripts/ui/PlakoroContentStudioUI.gd,761,review,"+ ""?\n\n"""
scripts/ui/PlakoroContentStudioUI.gd,768,review,"+ ""\n\nManual edits in that Default Dice file cannot be restored automatically."""
scripts/ui/PlakoroContentStudioUI.gd,811,review,"+ ""Milestone 10.4b will generate it automatically."""
scripts/ui/PlakoroContentStudioUI.gd,1347,review,"probability.text = ""16.7%"""
scripts/ui/PlakoroContentStudioUI.gd,1445,review,"""Cannot Duplicate "" + _content_kind_label(),"
scripts/ui/PlakoroContentStudioUI.gd,1705,review,"+ "": """
scripts/ui/PlakoroContentStudioUI.gd,1706,review,"+ String(preview.get(""display_name"", display_name)),"
scripts/ui/PlakoroContentStudioUI.gd,1707,review,"""ID: "" + content_id"
scripts/ui/PlakoroContentStudioUI.gd,1724,review,"message_lines.append(""• "" + String(warning))"
scripts/ui/PlakoroContentStudioUI.gd,1731,review,"message_lines.append(""• "" + String(error_text))"
scripts/ui/PlakoroContentStudioUI.gd,1793,technical/data,"(""\n"" + LocalizationService.tr_key(""content_studio.loadouts_cleaned"", ""Battle loadout references were cleaned up automatically.""))"
scripts/ui/PlakoroContentStudioUI.gd,1920,review,"+ ""\n"".join(assignment_result.get(""errors"", []))"
scripts/ui/PlakoroContentStudioUI.gd,2036,review,"lines.append(""• "" + _friendly_validation_error(String(raw_error)))"
scripts/ui/PlakoroContentStudioUI.gd,2057,review,"+ ""\n\n"""
scripts/ui/PlakoroContentStudioUI.gd,2088,review,"""Cannot Save "" + _content_kind_label(),"
scripts/ui/PlakoroContentStudioUI.gd,3019,review,"+ ""  ["""
scripts/ui/PlakoroContentStudioUI.gd,3021,review,"+ ""]"""
scripts/ui/PlakoroContentStudioUI.gd,3072,review,"+ ""  ["""
scripts/ui/PlakoroContentStudioUI.gd,3074,review,"+ ""]"""
scripts/ui/PlakoroContentStudioUI.gd,3101,review,"+ "" | Referenced by """
scripts/ui/PlakoroContentStudioUI.gd,3103,review,"+ "" compatible Pokémon. """
scripts/ui/PlakoroContentStudioUI.gd,3104,review,"+ ""Changes are applied when Save Move Card is pressed."""
scripts/ui/PlakoroContentStudioUI.gd,3182,review,"+ ""  •  """
scripts/ui/PlakoroContentStudioUI.gd,3238,review,"+ ""\n"""
scripts/ui/PlakoroContentStudioUI.gd,3395,review,"line += "" → "" + raw_text"
scripts/ui/PlakoroContentStudioUI.gd,3411,review,"line += "" → "" + _action_preview_text("
scripts/ui/PlakoroContentStudioUI.gd,3432,review,"label.text = ""• "" + text"
scripts/ui/PlakoroContentStudioUI.gd,3465,review,"(""+"" if incoming_amount >= 0 else """")"
scripts/ui/PlakoroContentStudioUI.gd,3479,review,"(""+"" if dice_amount >= 0 else """")"
scripts/ui/PlakoroContentStudioUI.gd,3650,review,"""%.1f%%"""
