file,line,classification,context
scripts/ui/PlakoroContentStudioUI.gd,1436,structural,"probability.text = ""16.7%"""
scripts/ui/PlakoroContentStudioUI.gd,1824,structural,"delete_message_label.text = ""\n"".join(message_lines)"
scripts/ui/PlakoroContentStudioUI.gd,4095,structural,"new_content_guide_checklist.text = ""\n"".join(lines)"
scripts/ui/PlakoroContentStudioUI.gd,4218,structural,"authoring_dependency_summary.text = ""\n"".join(summary_lines)"
scripts/ui/PlakoroContentStudioUI.gd,4247,structural,"authoring_impact_warning.text = """""
scenes/ui/PlakoroContentStudioUI.tscn,61,runtime-overridden/default,"text = ""Plakoro Content Studio"""
scenes/ui/PlakoroContentStudioUI.tscn,70,runtime-overridden/default,"text = ""Validate Database"""
scenes/ui/PlakoroContentStudioUI.tscn,75,runtime-overridden/default,"text = ""← Back to Preparation"""
scenes/ui/PlakoroContentStudioUI.tscn,84,runtime-overridden/default,"text = ""Pokémon Editor"""
scenes/ui/PlakoroContentStudioUI.tscn,89,runtime-overridden/default,"text = ""Charakoro Profile Editor"""
scenes/ui/PlakoroContentStudioUI.tscn,94,runtime-overridden/default,"text = ""Move Editor"""
scenes/ui/PlakoroContentStudioUI.tscn,99,runtime-overridden/default,"text = ""Model Weight Generator"""
scenes/ui/PlakoroContentStudioUI.tscn,108,runtime-overridden/default,"text = ""Advanced / Technical Details"""
scenes/ui/PlakoroContentStudioUI.tscn,109,runtime-overridden/default,"tooltip_text = ""Show schema, runtime compatibility, legacy JSON, and technical previews."""
scenes/ui/PlakoroContentStudioUI.tscn,129,technical/schema default,"text = ""res://database/pokemon"""
scenes/ui/PlakoroContentStudioUI.tscn,139,runtime-overridden/default,"text = ""Source: New Content"""
scenes/ui/PlakoroContentStudioUI.tscn,144,runtime-overridden/default,"text = ""Restore Built-in"""
scenes/ui/PlakoroContentStudioUI.tscn,146,runtime-overridden/default,"tooltip_text = ""Remove the user override and return to the built-in version."""
scenes/ui/PlakoroContentStudioUI.tscn,156,runtime-overridden/default,"placeholder_text = ""Search ID, name, owner, type..."""
scenes/ui/PlakoroContentStudioUI.tscn,162,runtime-overridden/default,"text = ""×"""
scenes/ui/PlakoroContentStudioUI.tscn,163,runtime-overridden/default,"tooltip_text = ""Clear search"""
scenes/ui/PlakoroContentStudioUI.tscn,173,runtime-overridden/default,"tooltip_text = ""Filter by content source"""
scenes/ui/PlakoroContentStudioUI.tscn,179,runtime-overridden/default,"tooltip_text = ""Filter by Pokémon or Move type"""
scenes/ui/PlakoroContentStudioUI.tscn,184,runtime-overridden/default,"text = ""0 / 0 shown"""
scenes/ui/PlakoroContentStudioUI.tscn,200,runtime-overridden/default,"text = ""New"""
scenes/ui/PlakoroContentStudioUI.tscn,206,runtime-overridden/default,"text = ""Load"""
scenes/ui/PlakoroContentStudioUI.tscn,212,runtime-overridden/default,"text = ""Duplicate"""
scenes/ui/PlakoroContentStudioUI.tscn,213,runtime-overridden/default,"tooltip_text = ""Create a new user-owned copy of the selected content."""
scenes/ui/PlakoroContentStudioUI.tscn,219,runtime-overridden/default,"text = ""Delete"""
scenes/ui/PlakoroContentStudioUI.tscn,220,runtime-overridden/default,"tooltip_text = ""Delete the selected database JSON"""
scenes/ui/PlakoroContentStudioUI.tscn,248,runtime-overridden/default,"text = ""New Pokémon"""
scenes/ui/PlakoroContentStudioUI.tscn,254,runtime-overridden/default,"text = ""New Content · ✓ Saved"""
scenes/ui/PlakoroContentStudioUI.tscn,260,runtime-overridden/default,"text = ""No dependency information yet."""
scenes/ui/PlakoroContentStudioUI.tscn,266,runtime-overridden/default,"text = """""
scenes/ui/PlakoroContentStudioUI.tscn,281,runtime-overridden/default,"text = ""Create New Content"""
scenes/ui/PlakoroContentStudioUI.tscn,287,runtime-overridden/default,"text = ""Complete the required information, then create the content."""
scenes/ui/PlakoroContentStudioUI.tscn,293,runtime-overridden/default,"text = ""Required fields will appear here."""
